A,B,corners
0.0,0.0,5.35393692163
0.071645110312,-2.14208907479,7.0
3.62280493583e-06,-0.69929674914,10.0
7.11666430969e-08,-0.300923434394,15.0
2.7168605571e-09,-0.0819253356804,25.0
7.83441407042e-10,-0.0315470496465,35.0
2.75512363374e-10,-0.00349269989941,70.0
1.59933164018e-10,0.00494526605433,200.0
2.38400246781e-10,0.00299169938803,500.0
6.30677650793e-10,0.00108386055587,1500.0
2.05132874668e-09,0.000326243990306,5000.0
4.98295848571e-09,0.000138037175122,10000.0
1.15652152009e-08,5.93430271242e-05,25000.0
2.45107742699e-08,2.86632589277e-05,50000.0
5.54133853686e-08,1.28574130856e-05,100000.0
